Activity/Milestone,Start Date,Days Until Start Date,Due Date,Days Remaining,Resource,Mar (2026),,,,,,,,,,,,,,,,,,,,,,,,,,,April (2026),,,,,,,,,,,
,,,,,,,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,F,Sat,Sun,M,Tu,W,Th,F,Sat,Sun,M,Tu,W,Th,F,Sat,Sun,M,Tu,W,Th,F,Sat,Sun,M,Tu,,W,Th,F,Sat,Sun,M,Tu,W,Th,F,Sat
Project planning & setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Finalize project scope, metrics, and success criteria.",3/4/2026,In Progress,3/9/2026,3,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Set up repo, Colab notebooks, and environment (PyTorch, torchvision, CUDA).",3/4/2026,In Progress,3/9/2026,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement experiment logging (TensorBoard or simple CSV logging),3/4/2026,In Progress,3/9/2026,3,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data loading & preprocessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement CIFAR‑10 train/val/test dataloaders via torchvision.datasets,3/4/2026,In Progress,3/9/2026,3,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Add standard transforms: tensor conversion, normalization, random crop, horizontal flip.",3/4/2026,In Progress,3/9/2026,3,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Optional) Add CIFAR‑100 loaders for later evaluation.,3/4/2026,In Progress,3/9/2026,3,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline CNN implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Design CNN architecture (conv blocks, pooling, classifier head)",3/10/2026,4,3/16/2026,10,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Implement forward pass, loss (cross‑entropy), optimizer, learning‑rate schedule.",3/10/2026,4,3/16/2026,10,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement generic training loop and validation loop,3/10/2026,4,3/16/2026,10,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline CNN training & evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run initial training runs to debug pipeline,3/10/2026,4,3/16/2026,10,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tune key hyperparameters (lr, batch size, weight decay, data augmentation)",3/10/2026,4,3/16/2026,10,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Train final baseline model to target 70–75% test accuracy,3/10/2026,4,3/16/2026,10,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save best model checkpoints and record metrics/plots,3/10/2026,4,3/16/2026,10,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretrained CNN fine‑tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Select pretrained backbone (e.g., ResNet18) and load pretrained weights",3/17/2026,11,3/23/2026,17,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,
Replace final layer for CIFAR‑10 classes and freeze lower layers,3/17/2026,11,3/23/2026,17,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,
"Run feature‑extractor training, then optionally unfreeze and fine‑tune more layers",3/17/2026,11,3/23/2026,17,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,
Evaluate on test set and record accuracy and loss curves,3/17/2026,11,3/23/2026,17,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,
"Analysis, comparison & ablations (if time)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compare baseline vs pretrained: accuracy, loss curves, training time",3/24/2026,18,3/30/2026,24,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
Generate confusion matrices and a few misclassified example images,3/24/2026,18,3/30/2026,24,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
(Optional) Small ablation: effect of augmentation or depth on baseline CNN,3/24/2026,18,3/30/2026,24,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
"Report, slides, and final polish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Draft report: methods, experiments, results, and discussion",3/31/2026,25,4/6/2026,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
"Create result figures and tables (learning curves, accuracy table)",3/31/2026,25,4/6/2026,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
Prepare final presentation slides and practice talk,3/31/2026,25,4/6/2026,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
"Final code cleanup, README, and reproducibility instructions",3/31/2026,25,4/6/2026,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,